location,name,appointments,capacity,metadata_1,metadata_2
BS20 6AQ,GP,6015,11960,29,78
BS3 1AS,GP,13189,18826,60,93
BS11 9SB,GP,5109,6490,55,26
BS14 8PT,GP,4004,5815,45,38
BS6 5PT,GP,8517,13864,96,65
BS16 3TD,GP,6101,5691,67,20
BS36 2DE,GP,7895,5226,88,42
BS5 0UA,GP,7327,11131,95,28
BS23 1YA,GP,5622,4492,68,56
BS9 3AA,GP,4785,5965,56,37
BS35 1DP,GP,2206,3462,42,14
BS34 6BQ,GP,7447,8034,93,73
BS25 1AF,GP,3146,3490,42,81
BS7 9RR,GP,8913,5741,23,88
BS5 6SA,GP,2178,2575,48,18
BS37 4DQ,GP,5477,8460,15,71
BS16 5SG,GP,9457,9025,27,73
BS7 0LS,GP,34,33,92,83
BS30 5QQ,GP,5567,5463,92,56
BS14 0SU,GP,9527,10110,50,41
BS4 4HU,GP,3820,3016,63,50
BS48 2XX,GP,20860,20193,95,99
BS34 5TF,GP,4228,5734,73,84
BS10 6SP,GP,13291,7284,16,3
BS5 7PD,GP,7076,7258,43,31
BS21 6DG,GP,5184,9630,26,45
BS13 0JP,GP,4360,3129,84,100
BS37 4AA,GP,6486,4094,59,95
BS23 3HQ,GP,7093,5715,50,43
BS23 4JP,GP,4066,5018,22,58
BS16 6UG,GP,5189,5169,3,36
BS37 4AX,GP,5214,5387,89,92
BS30 5JZ,GP,4395,4335,11,50
BS13 7JD,GP,4484,3924,54,48
BS13 8LD,GP,3880,4533,18,96
BS15 8NJ,GP,4931,5313,93,95
BS22 8AG,GP,4562,4559,3,22
BS5 9QY,GP,3101,6182,42,16
BS15 1WW,GP,11502,8918,55,12
BS15 4EJ,GP,6426,4787,72,22
BS24 7DX,GP,6054,3662,21,6
BS10 6DF,GP,6513,4231,79,57
BS16 2JD,GP,9671,14674,44,94
BS9 2HL,GP,4528,3578,8,42
BS7 8SA,GP,9154,12446,52,31
BS15 3HY,GP,11820,8694,28,46
BS8 3EU,GP,7870,9479,22,49
BS3 4AT,GP,6617,7204,38,76
BS4 2QJ,GP,5656,7042,98,92
BS20 0DL,GP,3841,3526,61,25
BS40 5EL,GP,14215,25482,81,48
BS2 0AN,GP,5344,5738,23,35
BS6 6DF,GP,10133,8952,60,12
BS8 2PU,GP,7917,6017,96,89
BS4 1WH,GP,4482,3851,8,70
BS10 6AF,GP,3310,3006,64,82
BS35 2AT,GP,3670,3212,13,12
BS7 9EG,GP,25,16,95,21
BS35 4JF,GP,1665,1526,43,47
BS34 8UE,GP,8078,5309,39,79
BS4 2DF,GP,3396,4931,76,21
BS32 4DS,GP,2483,1998,100,8
BS30 8HS,GP,4837,3795,69,14
BS9 4HT,GP,5479,4079,82,80
BS6 6AU,GP,8173,6982,68,69
BS20 7QA,GP,3419,5479,13,62
BS9 1JN,GP,1546,2176,24,18
BS16 7AL,GP,7522,3874,25,5
BS37 5UY,GP,1583,1808,15,52
BS22 6AJ,GP,7421,6757,97,48
BS32 9DS,GP,5769,6897,5,89
BS7 0UE,GP,3653,5133,75,60
BS23 3SJ,GP,2437,3344,43,37
BS2 8HW,GP,1,1,80,30
BS1 3EA,GP,6530,5326,3,40
BS2 8JP,GP,3,3,22,81
BS10 5NB,North Bristol NHS Trust,10896,15835,17,18
BS1 3NU,University Hospitals Bristol NHS Foundation Trust,14876,12030,4,27
